
央视超清,#genre#

CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CCTV1,http://117.169.120.142:8080/live/cctv-1/1.m3u8
CCTV2,http://117.169.120.142:8080/live/cctv-2/1.m3u8
CCTV3,http://117.169.120.142:8080/live/cctv-3/1.m3u8
CCTV4,http://117.169.120.142:8080/live/cctv-4/1.m3u8
CCTV5,http://183.207.255.197/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV6,http://117.169.120.142:8080/live/cctv-6/1.m3u8
CCTV7,http://117.169.120.142:8080/live/cctv-7/1.m3u8
CCTV8,http://117.169.120.142:8080/live/cctv-8/1.m3u8
CCTV9,http://117.169.120.142:8080/live/cctv-news/1.m3u8
CCTV10,http://117.169.120.142:8080/live/cctv-10/1.m3u8
CCTV11,http://117.169.120.142:8080/live/cctv-11/1.m3u8
CCTV12,http://117.169.120.142:8080/live/cctv-12/1.m3u8
CCTV13,http://117.169.120.142:8080/live/cctv-13/1.m3u8
