🇨🇳 低调,#genre#
🔥低调,https://vd4.bdstatic.com/mda-qiidw79efmjs8aar/576p/h264/1726739405111265219/mda-qiidw79efmjs8aar.mp4
🔥使用,https://vd2.bdstatic.com/mda-pk1ccehgau3ywq8q/hd/cae_h264/1699059021606217448/mda-pk1ccehgau3ywq8q.mp4
🔥严禁,https://vd2.bdstatic.com/mda-pdde6x4c56467djm/576p/h264/1681466528778166412/mda-pdde6x4c56467djm.mp4
🔥贩卖,https://vd2.bdstatic.com/mda-pagk4ayy8huvuu5g/hd/cae_h264/1674004730256821197/mda-pagk4ayy8huvuu5g.mp4
🔥玩腻,https://vd2.bdstatic.com/mda-phpb3pnb5u88qh6e/576p/h264/1692863767878360172/mda-phpb3pnb5u88qh6e.mp4
🔥摇摇,https://vd4.bdstatic.com/mda-peeixrkhd2cy1zfi/hd/cae_h264/1684262984316045413/mda-peeixrkhd2cy1zfi.mp4
🔥午夜,https://vd2.bdstatic.com/mda-na0hvaumrq7tvpy6/hd/cae_h264_delogo/1642485198391114574/mda-na0hvaumrq7tvpy6.mp4

🇨🇳 央视,#genre#,
CCTV1,http://ycsj.aguihome.com:4022/udp/233.50.200.99:5140					
CCTV1,http://ycsj.aguihome.com:4022/udp/233.50.200.130:5140					
CCTV1,http://ycsj.aguihome.com:4022/udp/233.50.200.143:5140					
CCTV1,http://ycsj.aguihome.com:4022/udp/233.50.201.118:5140					
CCTV1,http://ycsj.aguihome.com:4022/udp/233.50.201.222:5140					
CCTV2,http://ycsj.aguihome.com:4022/udp/233.50.200.25:5140					
CCTV2,http://ycsj.aguihome.com:4022/udp/233.50.200.100:5140					
CCTV2,http://ycsj.aguihome.com:4022/udp/233.50.201.119:5140					
CCTV3,http://ycsj.aguihome.com:4022/udp/233.50.200.107:5140					
CCTV3,http://ycsj.aguihome.com:4022/udp/233.50.201.196:5140					
CCTV4,http://ycsj.aguihome.com:4022/udp/233.50.200.101:5140					
CCTV5,http://ycsj.aguihome.com:4022/udp/233.50.200.108:5140					
CCTV5,http://ycsj.aguihome.com:4022/udp/233.50.201.197:5140					
CCTV5+,http://ycsj.aguihome.com:4022/udp/233.50.201.220:5140					
CCTV6,http://ycsj.aguihome.com:4022/udp/233.50.200.109:5140					
CCTV6,http://ycsj.aguihome.com:4022/udp/233.50.201.198:5140					
CCTV7,http://ycsj.aguihome.com:4022/udp/233.50.200.24:5140					
CCTV7,http://ycsj.aguihome.com:4022/udp/233.50.200.102:5140					
CCTV7,http://ycsj.aguihome.com:4022/udp/233.50.201.120:5140					
CCTV8,http://ycsj.aguihome.com:4022/udp/233.50.200.110:5140					
CCTV8,http://ycsj.aguihome.com:4022/udp/233.50.201.199:5140					
CCTV9,http://ycsj.aguihome.com:4022/udp/233.50.200.23:5140					
CCTV9,http://ycsj.aguihome.com:4022/udp/233.50.201.121:5140					
CCTV10,http://ycsj.aguihome.com:4022/udp/233.50.200.22:5140					
CCTV10,http://ycsj.aguihome.com:4022/udp/233.50.201.122:5140					
CCTV11,http://ycsj.aguihome.com:4022/udp/233.50.201.11:5140					
CCTV12,http://ycsj.aguihome.com:4022/udp/233.50.200.21:5140					
CCTV12,http://ycsj.aguihome.com:4022/udp/233.50.201.123:5140					
CCTV13,http://ycsj.aguihome.com:4022/udp/233.50.200.111:5140					
CCTV13,http://ycsj.aguihome.com:4022/udp/233.50.201.246:5140					
CCTV14,http://ycsj.aguihome.com:4022/udp/233.50.200.103:5140					
CCTV14,http://ycsj.aguihome.com:4022/udp/233.50.200.20:5140					
CCTV14,http://ycsj.aguihome.com:4022/udp/233.50.201.124:5140					
CCTV16,http://ycsj.aguihome.com:4022/udp/233.50.200.112:5140					
CCTV16,http://ycsj.aguihome.com:4022/udp/233.50.201.192:5140					
CCTV17,http://ycsj.aguihome.com:4022/udp/233.50.200.113:5140					
CCTV16 4K,http://ycsj.aguihome.com:4022/udp/233.50.201.63:5140

CCTV1,http://www.shizhan.love:8848/udp/239.49.0.1:8000
CCTV2,http://www.shizhan.love:8848/udp/239.49.0.2:8008
CCTV3,http://www.shizhan.love:8848/udp/239.49.0.3:9566
CCTV4,http://www.shizhan.love:8848/udp/239.49.0.4:8024
CCTV5,http://www.shizhan.love:8848/udp/239.49.0.5:9570
CCTV6,http://www.shizhan.love:8848/udp/239.49.0.6:9574
CCTV7,http://www.shizhan.love:8848/udp/239.49.8.126:8000
CCTV8,http://www.shizhan.love:8848/udp/239.49.0.8:9578
CCTV9,http://www.shizhan.love:8848/udp/239.49.8.53:9814
CCTV10,http://www.shizhan.love:8848/udp/239.49.0.10:8072
CCTV11,http://www.shizhan.love:8848/udp/239.49.0.11:8080
CCTV12,http://www.shizhan.love:8848/udp/239.49.0.12:8088
CCTV13,http://www.shizhan.love:8848/udp/239.49.0.13:8096
CCTV14,http://www.shizhan.love:8848/udp/239.49.0.14:8104
CCTV15,http://www.shizhan.love:8848/udp/239.49.0.15:8112
CGTN,http://www.shizhan.love:8848/udp/239.49.0.9:8064
CCTV17,http://www.shizhan.love:8848/udp/239.49.0.7:8048

CCTV1,http://221.205.180.88:8003/rtp/226.0.2.153:9136
CCTV2,http://221.205.180.88:8003/rtp/226.0.2.154:9144
CCTV3,http://221.205.180.88:8003/rtp/226.0.2.208:9576
CCTV4,http://221.205.180.88:8003/rtp/226.0.2.156:9160
CCTV5,http://221.205.180.88:8003/rtp/226.0.2.209:9584
CCTV6,http://221.205.180.88:8003/rtp/226.0.2.210:9592
CCTV7,http://221.205.180.88:8003/rtp/226.0.2.159:9184
CCTV8,http://221.205.180.88:8003/rtp/226.0.2.211:9600
CCTV9,http://221.205.180.88:8003/rtp/226.0.2.161:9200
CCTV10,http://221.205.180.88:8003/rtp/226.0.2.162:9208
CCTV11,http://221.205.180.88:8003/rtp/226.0.2.28:8136
CCTV12,http://221.205.180.88:8003/rtp/226.0.2.164:9224
CCTV13,http://221.205.180.88:8003/rtp/226.0.2.165:9232
CCTV14,http://221.205.180.88:8003/rtp/226.0.2.166:9240
CCTV15,http://221.205.180.88:8003/rtp/226.0.2.32:8168
CCTV16,http://221.205.180.88:8003/rtp/226.0.2.169:9264
CCTV5+体育赛事,http://221.205.180.88:8003/rtp/226.0.2.168:9256
CCTV17,http://221.205.180.88:8003/rtp/226.0.2.170:9272

🇨🇳 卫视,#genre#
凤凰中文,http://ycsj.aguihome.com:4022/udp/233.50.200.42:5140					
凤凰中文,http://ycsj.aguihome.com:4022/udp/233.50.200.191:5140					
凤凰资讯,http://ycsj.aguihome.com:4022/udp/233.50.200.192:5140					
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.104:5140					
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.104:5140					
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.105:5140					
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.140:5140					
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.106:5140					
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.113:5140					
重庆卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.114:5140					
云南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.115:5140					
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.118:5140					
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.139:5140					
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.119:5140					
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.145:5140					
