央视频道,#genre#
CCTV8K 超高清,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8

CCTV4K 超高清,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV4K 超高清,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K 超高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8

CCTV1 综合,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1 综合,http://223.110.240.208:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8

CCTV2 财经,http://ott.mobaibox.com/PLTV/3/224/3221227708/index.m3u8
CCTV2 财经,http://223.110.240.208:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ.m3u8

CCTV3 综艺,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV3 综艺,http://223.110.240.208:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ.m3u8

CCTV4 中文国际,http://ott.mobaibox.com/PLTV/3/224/3221227658/index.m3u8
CCTV4 中文国际,http://223.110.240.208:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ.m3u8

CCTV5 体育,http://ott.mobaibox.com/PLTV/3/224/3221227686/index.m3u8
CCTV5 体育,http://223.110.240.208:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ.m3u8

CCTV5+ 体育赛事,http://ott.mobaibox.com/PLTV/3/224/3221227714/index.m3u8
CCTV5+ 体育赛事,http://223.110.240.208:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ.m3u8

CCTV6 电影,http://ott.mobaibox.com/PLTV/3/224/3221227664/index.m3u8
CCTV6 电影,http://223.110.240.208:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ.m3u8

CCTV7 国防军事,http://ott.mobaibox.com/PLTV/3/224/3221227642/index.m3u8
CCTV7 国防军事,http://223.110.240.208:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8

CCTV8 电视剧,http://ott.mobaibox.com/PLTV/3/224/3221227433/index.m3u8
CCTV8 电视剧,http://223.110.240.208:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ.m3u8

CCTV9 纪录,http://ott.mobaibox.com/PLTV/3/224/3221225532/index.m3u8
CCTV9 纪录,http://223.110.240.208:6610/gitv/live1/G_CCTV-9-HD-265-5M/G_CCTV-9-HD-265-5M.m3u8

CCTV10 科教,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8
CCTV10 科教,http://223.110.240.208:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8

CCTV11 戏曲,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
CCTV11 戏曲,http://223.110.240.208:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8

CCTV12 社会与法,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV12 社会与法,http://223.110.240.208:6610/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12.m3u8

CCTV13 新闻,http://ott.mobaibox.com/TVOD/3/224/3221228224/index.m3u8
CCTV13 新闻,http://223.110.240.208:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8

CCTV14 少儿,http://ott.mobaibox.com/PLTV/3/224/3221227656/index.m3u8
CCTV14 少儿,http://223.110.240.208:6610/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14.m3u8

CCTV15 音乐,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8
CCTV15 音乐,http://223.110.240.208:6610/cntv/live1/cctv-15/cctv-15.m3u8

CCTV16 奥运,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV16 奥运,http://ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8
CCTV16 奥运,http://223.110.240.208:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8

CCTV17 农业农村,http://ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8
CCTV17 农业农村,http://223.110.240.208:6610/gitv/live1/G_CCTV-17-HD/G_CCTV-17-HD.m3u8


卫视频道,#genre#
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227404/index.m3u8
湖南卫视,http://223.110.240.208:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ.m3u8

江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227439/index.m3u8
江苏卫视,http://223.110.240.208:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ.m3u8

浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221225544/index.m3u8
浙江卫视,http://223.110.240.208:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ.m3u8

北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221227436/index.m3u8
北京卫视,http://223.110.240.208:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ.m3u8

东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221227486/index.m3u8
东方卫视,http://223.110.240.208:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ.m3u8

天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227407/index.m3u8
天津卫视,http://223.110.240.208:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ.m3u8

安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227498/index.m3u8
安徽卫视,http://223.110.240.208:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ.m3u8

山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227258/index.m3u8
山东卫视,http://223.110.240.208:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ.m3u8

广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227445/index.m3u8
广东卫视,http://223.110.240.208:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ.m3u8

