广州电信,#genre# 
CCTV-1综合,http://113.86.204.100:808/hls/1/index.m3u8
CCTV-2财经,http://113.86.204.100:808/hls/2/index.m3u8
CCTV-4中文国际,http://113.86.204.100:808/hls/4/index.m3u8
CCTV-5+体育赛事,http://113.86.204.100:808/hls/6/index.m3u8
CCTV-7国防军事,http://113.86.204.100:808/hls/8/index.m3u8
CCTV-9纪录,http://113.86.204.100:808/hls/10/index.m3u8
CCTV-10科教,http://113.86.204.100:808/hls/11/index.m3u8
CCTV-12社会与法,http://113.86.204.100:808/hls/13/index.m3u8
CCTV-14少儿,http://113.86.204.100:808/hls/15/index.m3u8
CCTV-17农村农业,http://113.86.204.100:808/hls/109/index.m3u8
CCTV-第一剧场,http://113.86.204.100:808/hls/59/index.m3u8
CCTV-风云剧场,http://113.86.204.100:808/hls/60/index.m3u8
CCTV-怀旧剧场,http://113.86.204.100:808/hls/61/index.m3u8
CCTV-风云音乐,http://113.86.204.100:808/hls/62/index.m3u8
深圳卫视,http://113.86.204.100:808/hls/29/index.m3u8
湖南卫视,http://113.86.204.100:808/hls/34/index.m3u8
浙江卫视,http://113.86.204.100:808/hls/35/index.m3u8
东方卫视,http://113.86.204.100:808/hls/36/index.m3u8
北京卫视,http://113.86.204.100:808/hls/37/index.m3u8
江苏卫视,http://113.86.204.100:808/hls/38/index.m3u8
安徽卫视,http://113.86.204.100:808/hls/39/index.m3u8
湖北卫视,http://113.86.204.100:808/hls/40/index.m3u8
山东卫视,http://113.86.204.100:808/hls/41/index.m3u8
黑龙江卫视,http://113.86.204.100:808/hls/42/index.m3u8
天津卫视,http://113.86.204.100:808/hls/43/index.m3u8
重庆卫视,http://113.86.204.100:808/hls/44/index.m3u8
辽宁卫视,http://113.86.204.100:808/hls/45/index.m3u8
河北卫视,http://113.86.204.100:808/hls/46/index.m3u8
四川卫视,http://113.86.204.100:808/hls/47/index.m3u8
广东卫视,http://113.86.204.100:808/hls/48/index.m3u8
江西卫视,http://113.86.204.100:808/hls/49/index.m3u8
贵州卫视,http://113.86.204.100:808/hls/50/index.m3u8
东南卫视,http://113.86.204.100:808/hls/66/index.m3u8
吉林卫视,http://113.86.204.100:808/hls/69/index.m3u8
金鹰卡通,http://113.86.204.100:808/hls/78/index.m3u8
CHC高清电影,http://113.86.204.100:808/hls/28/index.m3u8
