港台,#genre#
港台直播源,http://2023.stream-link.org/live/1793825065
東森財經新聞,http://2023.stream-link.org/live/249006034
華視新聞,http://2023.stream-link.org/live/215730961
中天新聞,http://2023.stream-link.org/live/1552993665
中視新聞,http://2023.stream-link.org/live/926790469
民視新聞,http://2023.stream-link.org/live/1637144344
寰宇國際新聞,http://2023.stream-link.org/live/1212532853
寰宇台灣新聞,http://2023.stream-link.org/live/1932250847
三立財經新聞,http://2023.stream-link.org/live/172551145
三立新聞,http://2023.stream-link.org/live/1803236734
三立新聞+,http://2023.stream-link.org/live/1998094138
台視新聞,http://2023.stream-link.org/live/966381653
TVBS新聞,http://2023.stream-link.org/live/401131254
TVBS財經,http://2023.stream-link.org/live/1711676066
中天綜合台,http://2023.stream-link.org/live/35397979
中天亞洲台,http://2023.stream-link.org/live/1096161090
台視,http://2023.stream-link.org/live/280878870
天才衝衝衝,http://2023.stream-link.org/live/1311166619
東森yoyo,http://2023.stream-link.org/live/367293080
卫视中文台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941624&extension=ts&play_token=xmfFOBilCP
卫视中文台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941624
卫视电影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=UX6nxpu1TT
星卫电影台,http://23.237.10.66:16359
星卫电影台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941625
星卫电影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=vFR5CkmzbA
HBO 2,http://208.115.225.174:14140
HBO Mundi,http://208.115.225.174:14148
HBO signature,http://208.115.225.174:14160
HBO,http://208.115.225.174:14165
民视HD,http://23.237.10.66:16334
民视HD,http://107.151.203.111:2209/135/us50.php?id=msk
民视HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156389&extension=ts&play_token=UEKTIim7lP
民视新闻HD,http://123.51.230.108:18663/.m3u8
民视新闻HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
