央视,#genre#

CCTV1,http://121.24.98.3:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.3:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.3:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.3:8090/hls/12/index.m3u8
CCTV5,http://121.24.98.3:8090/hls/13/index.m3u8
CCTV6,http://121.24.98.3:8090/hls/14/index.m3u8
CCTV7,http://121.24.98.3:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.3:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.3:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.3:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.3:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.3:8090/hls/20/index.m3u8
CCTV13,http://121.24.98.3:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.3:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.3:8090/hls/23/index.m3u8
CCTV16,http://219.142.150.193:9901/tsfile/live/0016_1.m3u8
CCTV17,http://121.24.98.3:8090/hls/24/index.m3u8
CCTV5+,http://121.24.98.3:8090/hls/5/index.m3u8

CCTV1,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV6,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV17,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV5+,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV4K,http://223.109.123.145/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8

CCTV1,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV6,http://219.151.136.146/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
